name,website,short_description,description,category,pricing,logo,tags
"Codecademy","https://www.codecademy.com","Interactive platform for learning to code","Codecademy offers interactive coding lessons in Python, JavaScript, HTML/CSS, and more. Students learn by writing real code in the browser.","Coding","Freemium","💡","coding,learning,programming,education,interactive"
"Loom","https://www.loom.com","Screen recording tool for video presentations","Loom makes it easy to record your screen and camera for video presentations. Students use it for project demos, tutorials, and remote collaboration.","Video","Freemium","🎥","video,screen-recording,presentations,students,collaboration"
"Evernote","https://evernote.com","Note-taking app with web clipping and organization","Evernote helps students capture notes, clip web articles, and organize research. Syncs across devices for access anywhere.","Productivity","Freemium","🗒️","notes,productivity,organization,research,students"
"Khan Academy","https://www.khanacademy.org","Free educational videos and practice exercises","Khan Academy offers free lessons in math, science, economics, and more. Students can learn at their own pace with videos and practice problems.","Study","Free","🎓","education,learning,videos,math,free"
"Perplexity AI","https://www.perplexity.ai","AI search engine with cited sources","Perplexity AI answers questions with real-time web search and provides citations. Helpful for research and fact-checking with transparent sources.","Research","Freemium","🔎","research,search,ai,citations,students"
"Notion AI","https://www.notion.so/product/ai","AI writing assistant built into Notion","Notion AI helps students brainstorm ideas, summarize notes, and improve writing directly in their Notion workspace. Integrated with existing notes and projects.","Writing","Paid","🧠","writing,ai,notes,productivity,students"
"Slidesgo","https://slidesgo.com","Free presentation templates for students","Slidesgo offers thousands of free Google Slides and PowerPoint templates. Students can create professional presentations without starting from scratch.","Design","Free","📊","presentations,templates,design,students,free"
"Forest","https://www.forestapp.cc","Focus app that helps you stay off your phone","Forest helps students focus by gamifying phone-free time. Plant virtual trees while studying, and they die if you use your phone.","Productivity","Freemium","🌳","focus,productivity,study,time-management,students"
"Mathway","https://www.mathway.com","Math problem solver with step-by-step solutions","Mathway solves math problems from basic algebra to calculus. Shows step-by-step solutions to help students understand the process.","Study","Freemium","🧮","math,homework,problem-solving,calculations,students"
"Coursera","https://www.coursera.org","Online courses from universities and companies","Coursera offers thousands of courses from top universities. Students can learn new skills, earn certificates, and access many courses for free.","Study","Freemium","🎯","education,courses,learning,skills,students"
"Grammarly GO","https://www.grammarly.com/go","AI writing assistant with generative features","Grammarly GO combines grammar checking with AI writing help. Students can generate drafts, rewrite paragraphs, and get writing suggestions.","Writing","Paid","✨","writing,ai,grammar,students,generation"
"Excalidraw","https://excalidraw.com","Free hand-drawn style diagramming tool","Excalidraw creates simple diagrams and sketches with a hand-drawn aesthetic. Perfect for brainstorming, flowcharts, and visual explanations.","Design","Free","✏️","diagrams,sketching,brainstorming,collaboration,free"
"Obsidian","https://obsidian.md","Knowledge base and note-taking with linking","Obsidian helps students build a personal knowledge base by linking notes together. Great for research, thesis writing, and connecting ideas.","Productivity","Freemium","💎","notes,knowledge,research,organization,students"
"Symbolab","https://www.symbolab.com","Math solver with detailed step-by-step explanations","Symbolab solves algebra, calculus, and trigonometry problems with detailed explanations. Helps students learn math concepts through worked examples.","Study","Freemium","∑","math,problem-solving,homework,calculations,students"
"Speechify","https://speechify.com","Text-to-speech app for listening to documents","Speechify converts textbooks, articles, and PDFs into audio. Students can listen while commuting or multitasking to save time.","Audio","Freemium","🔊","text-to-speech,audio,reading,accessibility,students"
"Miro","https://miro.com","Online whiteboard for brainstorming and collaboration","Miro is a digital whiteboard for visual collaboration. Students use it for group brainstorming, mind mapping, and project planning.","Productivity","Freemium","🎨","collaboration,whiteboard,brainstorming,projects,students"
"Stack Overflow","https://stackoverflow.com","Q&A community for programming help","Stack Overflow is where programmers ask and answer coding questions. Essential resource for students learning to code and debugging errors.","Coding","Free","💬","coding,programming,community,help,free"
"Scribbr","https://www.scribbr.com","Citation generator and plagiarism checker","Scribbr generates citations in APA, MLA, Chicago, and other styles. Also offers plagiarism checking and proofreading services for students.","Research","Freemium","📝","citations,plagiarism,academic,writing,students"
"Calendly","https://calendly.com","Scheduling tool for meetings and office hours","Calendly makes it easy to schedule meetings without email back-and-forth. Students use it for group project meetings and professor office hours.","Productivity","Freemium","📅","scheduling,meetings,productivity,organization,students"
"Notion Calendar","https://www.notion.so/product/calendar","Calendar integrated with Notion workspace","Notion Calendar connects your schedule with your Notion notes and tasks. Students can see assignments, deadlines, and events in one place.","Productivity","Free","📆","calendar,productivity,organization,students,free"
"Deepl","https://www.deepl.com","AI translator with natural-sounding results","DeepL provides more natural translations than other tools. Helpful for language students and reading foreign research papers.","Study","Freemium","🌐","translation,language,students,ai,research"
"Photopea","https://www.photopea.com","Free online photo editor like Photoshop","Photopea is a free browser-based image editor with Photoshop-like features. Students can edit photos and create graphics without expensive software.","Image","Free","🖼️","image-editing,design,graphics,free,students"
"Sci-Hub","https://sci-hub.se","Access to research papers (use ethically)","Sci-Hub provides free access to millions of research papers. Note: Check your institution's library first and use responsibly.","Research","Free","🔓","research,papers,academic,access,free"
"Hemingway App","https://hemingwayapp.com","Writing tool for clear and bold prose","Hemingway App highlights complex sentences and passive voice. Helps students write more clearly and concisely for better grades.","Writing","Freemium","📖","writing,editing,clarity,students,essays"
"Clockify","https://clockify.me","Free time tracking for productivity","Clockify helps students track how much time they spend on assignments and projects. Useful for improving time management and productivity.","Productivity","Free","⏱️","time-tracking,productivity,organization,free,students"
"Brilliant","https://brilliant.org","Interactive learning for math and science","Brilliant teaches math, science, and computer science through interactive problem-solving. Great for students who want to deepen their understanding.","Study","Freemium","💡","math,science,learning,interactive,students"
"Kami","https://www.kamiapp.com","PDF annotation and collaboration tool","Kami lets students annotate PDFs, collaborate on documents, and fill out forms. Integrates with Google Classroom and other learning platforms.","Productivity","Freemium","📄","pdf,annotation,collaboration,students,documents"
"Soundtrap","https://www.soundtrap.com","Online music and podcast creation studio","Soundtrap is a browser-based audio editor for creating music and podcasts. Students can collaborate in real-time on audio projects.","Audio","Freemium","🎵","audio,music,podcasts,creation,collaboration"
"Removebg","https://www.remove.bg","AI tool to remove image backgrounds instantly","Remove.bg uses AI to remove backgrounds from images in seconds. Useful for presentations, design projects, and social media graphics.","Image","Freemium","🖼️","image-editing,background-removal,ai,design,students"
